"Geschäft";"Geschäfts ID";"Datum und Uhrzeit";"Belegnummer";"Grund";"Buchungstext";"Währung";"Einnahmen";"Ausgaben";"Mehrwertsteuersatz";"Betrag MwSt";"Kassenbestand"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 17:19:55";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3910";"Sonstige Einnahme";"";"EUR";"5,00";"";"0,00";"0,00";"355,71"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 18:21:00";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3911";"Sonstige Einnahme";"";"EUR";"6,00";"";"0,00";"0,00";"361,71"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 18:21:00";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3912";"Wechselgeld";"";"EUR";"";"-0,68";"0,00";"0,00";"361,03"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 18:44:20";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3913";"Trinkgeldauszahlung";"";"EUR";"";"-43,12";"0,00";"0,00";"317,91"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 18:51:39";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3914";"Transfer von Kasse zur Bank";"";"EUR";"";"-167,91";"0,00";"0,00";"150,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 09:07:14";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3915";"Sonstige Einnahme";"";"EUR";"6,50";"";"0,00";"0,00";"156,50"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 09:57:05";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3916";"Sonstige Einnahme";"";"EUR";"13,90";"";"0,00";"0,00";"170,40"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 10:39:39";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3917";"Sonstige Einnahme";"";"EUR";"7,30";"";"0,00";"0,00";"177,70"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 10:45:12";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3918";"Sonstige Einnahme";"";"EUR";"3,70";"";"0,00";"0,00";"181,40"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 10:51:18";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3919";"Sonstige Einnahme";"";"EUR";"2,70";"";"0,00";"0,00";"184,10"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 11:06:47";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3920";"Sonstige Einnahme";"";"EUR";"3,30";"";"0,00";"0,00";"187,40"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 11:15:59";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3921";"Sonstige Einnahme";"";"EUR";"4,55";"";"0,00";"0,00";"191,95"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 11:24:37";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3922";"Sonstige Einnahme";"";"EUR";"4,00";"";"0,00";"0,00";"195,95"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 11:31:55";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3923";"Sonstige Einnahme";"";"EUR";"8,90";"";"0,00";"0,00";"204,85"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 12:09:33";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3924";"Sonstige Einnahme";"";"EUR";"25,00";"";"0,00";"0,00";"229,85"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 12:09:33";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3925";"Wechselgeld";"";"EUR";"";"-4,50";"0,00";"0,00";"225,35"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 12:12:02";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3926";"Sonstige Einnahme";"";"EUR";"3,70";"";"0,00";"0,00";"229,05"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 12:14:57";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3927";"Sonstige Einnahme";"";"EUR";"10,00";"";"0,00";"0,00";"239,05"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 12:14:57";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3928";"Wechselgeld";"";"EUR";"";"-2,60";"0,00";"0,00";"236,45"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 12:22:22";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3929";"Sonstige Einnahme";"";"EUR";"8,80";"";"0,00";"0,00";"245,25"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 12:23:53";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3930";"Sonstige Einnahme";"";"EUR";"11,50";"";"0,00";"0,00";"256,75"
